date,site,phytoplankton,counts
9/11/2019,Kotzebue Lagoon,asterionella,596
9/11/2019,Kotzebue Lagoon,leptocylindrus,2478
9/11/2019,Kotzebue Lagoon,skeletonima,308
9/11/2019,Kotzebue Lagoon,lpp group,366
9/11/2019,Kotzebue Lagoon,nitzschia,94
9/11/2019,Kotzebue Lagoon,ankistrodesmus,396
9/11/2019,Kotzebue Lagoon,scenedesmus,76
9/11/2019,Kotzebue Lagoon,cylindratheca,41
9/11/2019,Kotzebue Lagoon,crucigenia,245
9/11/2019,Kotzebue Lagoon,gomphospharia,114
9/11/2019,Kotzebue Lagoon,pediastrum,10
9/11/2019,Kotzebue Lagoon,cryptomonid,186
9/11/2019,Kotzebue Lagoon,centrics,14
9/11/2019,Kotzebue Lagoon,navicula,43
9/11/2019,Kotzebue Lagoon,coscinodiscus,21
9/11/2019,Kotzebue Lagoon,pleurosignma,10
9/11/2019,Kotzebue Lagoon,chroococous,24
9/11/2019,Kotzebue Lagoon,fragilaria,126
9/11/2019,Kotzebue Lagoon,synedra,114
9/11/2019,Kotzebue Lagoon,melosira,44
9/17/2019,Kotzebue Lagoon,asterionella,176
9/17/2019,Kotzebue Lagoon,crucigenia,455
9/17/2019,Kotzebue Lagoon,leptocylindrus,1186
9/17/2019,Kotzebue Lagoon,lpp group,312
9/17/2019,Kotzebue Lagoon,coscinodiscus,35
9/17/2019,Kotzebue Lagoon,cylindratheca,18
9/17/2019,Kotzebue Lagoon,skeletonima,455
9/17/2019,Kotzebue Lagoon,centrics,22
9/17/2019,Kotzebue Lagoon,pennates,27
9/17/2019,Kotzebue Lagoon,cryptomonid,236
9/17/2019,Kotzebue Lagoon,scenedesmus,142
9/17/2019,Kotzebue Lagoon,ankistrodesmus,49
9/17/2019,Kotzebue Lagoon,gomphospharia,32
9/17/2019,Kotzebue Lagoon,chroococous,40
9/17/2019,Kotzebue Lagoon,merismopedia,29
9/17/2019,Kotzebue Lagoon,nitzschia,21
9/17/2019,Kotzebue Lagoon,pediastrum,17
9/17/2019,Kotzebue Lagoon,navicula,25
9/17/2019,Kotzebue Lagoon,amphora,12
9/17/2019,Kotzebue Lagoon,tabellaria,11
10/7/2019,Kotzebue Shore,asterionella,1197
10/7/2019,Kotzebue Shore,scenedesmus,116
10/7/2019,Kotzebue Shore,cryptomonid,23
10/7/2019,Kotzebue Shore,merismopedia,35
10/7/2019,Kotzebue Shore,skeletonima,156
10/7/2019,Kotzebue Shore,crucigenia,274
10/7/2019,Kotzebue Shore,gomphospharia,45
10/7/2019,Kotzebue Shore,ankistrodesmus,12
10/7/2019,Kotzebue Shore,coscinodiscus,51
10/7/2019,Kotzebue Shore,melosira,17
10/7/2019,Kotzebue Shore,synedra,12
10/7/2019,Kotzebue Shore,anabeana,9
10/7/2019,Kotzebue Shore,gryosigma,1
10/7/2019,Kotzebue Shore,pleurosignma,2
10/7/2019,Kotzebue Shore,tabellaria,24
10/7/2019,Kotzebue Shore,centrics,57
10/7/2019,Kotzebue Shore,cylindratheca,30
10/7/2019,Kotzebue Shore,pediastrum,12
10/7/2019,Kotzebue Shore,lpp group,131
10/7/2019,Kotzebue Shore,pennates,153
10/7/2019,Kotzebue Shore,melosira,21
10/7/2019,Kotzebue Shore,leptocylindrus,883
10/7/2019,Kotzebue Shore,navicula,34
10/7/2019,Kotzebue Shore,coelospharium,4
10/7/2019,Kotzebue Shore,chroococous,3
10/7/2019,Kotzebue Shore,gleocapsa,12
10/7/2019,Kotzebue Shore,achnanthidium,2
10/7/2019,Kotzebue Shore,amphora,2
10/7/2019,Kotzebue Shore,encyonopsis,1
10/7/2019,Kotzebue Shore,closteriopsis,81
9/17/2019,Kotzebue Shore,asterionella,165
9/17/2019,Kotzebue Shore,crucigenia,612
9/17/2019,Kotzebue Shore,leptocylindrus,1368
9/17/2019,Kotzebue Shore,lpp group,173
9/17/2019,Kotzebue Shore,coscinodiscus,139
9/17/2019,Kotzebue Shore,cylindratheca,27
9/17/2019,Kotzebue Shore,skeletonima,806
9/17/2019,Kotzebue Shore,scenedesmus,163
9/17/2019,Kotzebue Shore,cryptomonid,34
9/17/2019,Kotzebue Shore,gomphospharia,80
9/17/2019,Kotzebue Shore,melosira,5
9/17/2019,Kotzebue Shore,pennates,77
9/17/2019,Kotzebue Shore,ankistrodesmus,9
9/17/2019,Kotzebue Shore,pediastrum,22
9/17/2019,Kotzebue Shore,centrics,5
9/17/2019,Kotzebue Shore,amphora,2
9/17/2019,Kotzebue Shore,merismopedia,20
9/17/2019,Kotzebue Shore,centrics,7
9/17/2019,Kotzebue Shore,caticula,10
9/17/2019,Kotzebue Shore,navicula,8
9/17/2019,Kotzebue Shore,pleurosignma,2
9/17/2019,Kotzebue Shore,chroococous,8
